,Label,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk
0,TRAIN/Downward_Dog/Images/downward_dog4.jpg,159.50986441718524,159.19051004812673,195.1375028985909,167.91875183019903,176.6058735832818,175.5114859881951,359.94319653594715,0.018511171336113377,5.276202086531968,82.71747177664385,83.00585668454607,319.18491612511843,92.93542870457445,91.33043547597218
0,TRAIN/Downward_Dog/Images/downward_dog40.jpg,161.43813481669972,160.5061000596132,179.71285349238477,178.8473856113706,177.5154943860692,179.01019212816254,359.6831665572857,0.23588369527125436,358.3020742264779,80.59336578713385,78.55116412816534,245.22485943116806,83.43291938833501,83.15900771319701
0,TRAIN/Downward_Dog/Images/downward_dog41.jpg,165.45395127746653,149.65438028862093,160.61238881317976,211.55776903722295,187.67414129114846,181.2236072948755,357.58502057141567,2.2164621200347896,15.908202930156701,98.56357747900296,101.81958019861867,345.14138555207535,96.21583036197154,94.47652030231191
0,TRAIN/Downward_Dog/Images/downward_dog42.jpg,181.3245219122912,172.40535663140858,186.2335840509467,177.70938995736148,179.94833565014946,181.38751574744322,359.92319605201743,0.024965479689336004,8.130102354155978,68.40148275753295,66.33876768801828,340.3461759419467,70.79602649449996,69.72275920743382
0,TRAIN/Downward_Dog/Images/downward_dog43.jpg,170.40686573726964,175.6012946450045,165.81888761319718,188.3929251873925,179.10014028509562,179.59220774343424,358.1759101676239,1.7703968054540797,2.4895529219991532,94.34207500080177,94.40201208896273,21.03751102542181,89.53329817454446,91.37503113819112
0,TRAIN/Downward_Dog/Images/downward_dog44.jpg,169.98538592715602,165.14138555207535,196.93875745209274,165.6611284018602,170.89377254243377,164.84891346498435,358.0960190838361,1.7493014844454255,359.436453129186,65.7609648734209,69.37165583377316,250.34617594194668,71.84302151662837,73.01789354645459
0,TRAIN/Downward_Dog/Images/downward_dog45.jpg,173.99099404250546,183.33633670221334,169.2273523517793,190.38885781546963,176.4677054161091,176.2164097489002,359.84351788382594,0.14983171785270227,354.48130588494377,85.95684899629087,85.98340236691816,266.26860300083956,80.84074284153805,78.69440384471163
0,TRAIN/Downward_Dog/Images/downward_dog46.jpg,175.36453657309735,172.7584042648849,182.89126959622055,179.53256228629073,174.57529754097703,178.0312327934762,359.5631626335729,0.4012645316771802,359.77195830061106,75.1794082265411,73.9426498308723,303.69006752597977,74.8289513434964,74.88950202358873
0,TRAIN/Downward_Dog/Images/downward_dog47.jpg,171.15670901082643,169.48395361545522,187.04281299136926,176.78660469386827,183.12372715645017,179.19161724714408,0.2554978806411557,359.63460432914235,6.376857128818596,74.45584289829326,75.28279790968365,27.34987578006987,81.01605055621006,79.04068850634344
0,TRAIN/Downward_Dog/Images/downward_dog48.jpg,166.5815683415731,170.55943843639454,182.47872923681626,182.06804519882834,174.70991879462872,174.38322054328094,359.89601503338235,0.10913468613579842,351.46144469833246,74.23733599272188,75.86183600005604,206.20011484134733,76.23921488820876,74.46173850940892
0,TRAIN/Downward_Dog/Images/downward_dog49.jpg,172.5765708311033,172.1959014080561,160.16669453824406,196.79653702469287,177.83604793812577,179.17882161370966,359.57401692335685,0.32004418925514194,13.741514691425424,70.02773436949076,64.99922146305502,66.16125981682826,61.932056922301065,58.53389371440569
0,TRAIN/Downward_Dog/Images/downward_dog5.jpg,166.2652223356736,166.04752223191505,168.3106308245608,192.58296249407695,181.40923644393692,182.74567197372448,359.71970808969337,0.21248981208057605,0.3871277541509535,78.23171106797936,77.6632981242445,324.6887865603668,76.57657597334442,76.27115930980082
0,TRAIN/Downward_Dog/Images/downward_dog50.jpg,171.0273733851036,164.2416262637604,188.84626229962637,179.40958623770035,180.5771357678988,184.63546342690265,358.8318434891861,0.9076372266654245,13.251633799603567,89.06790220942128,85.94326213870512,344.9315118405078,95.2765972355712,92.36145765259663
0,TRAIN/Downward_Dog/Images/downward_dog51.jpg,162.94668523129909,172.19501206727986,160.19660005638664,192.737075360985,184.89909245378777,185.79279649503218,0.7037463471894357,359.33306151559634,0.41457872343242663,94.19118446703457,92.95336576752305,329.0362434679265,91.9114426335529,91.99978431981361
0,TRAIN/Downward_Dog/Images/downward_dog52.jpg,178.05851360908562,180.5968094512292,158.8387401831717,196.75721518503215,171.80420406158376,175.60991963056526,359.38040098910244,0.540950100918957,3.1184796541995907,85.43564717346261,81.30052932577038,0.0,72.92377742306402,71.37753838631859
0,TRAIN/Downward_Dog/Images/downward_dog53.jpg,170.00102472143172,158.1104432300953,181.10843584281628,183.73512359798946,175.8760924396844,178.31531568210372,358.66678993183586,1.1975740401044301,7.853313301978219,73.70361515314666,72.31137591084973,311.67687955486457,74.39167005738766,74.91626143375773
0,TRAIN/Downward_Dog/Images/downward_dog54.jpg,165.49625827996653,170.3112134396332,160.51823482267457,196.8948435617501,182.49622336605924,186.2911671329391,357.9261286324243,1.8410162069244802,359.6808067589255,82.68844517009403,81.1324828366369,334.7988763545249,78.01819064696271,78.33760306195313
0,TRAIN/Downward_Dog/Images/downward_dog55.jpg,172.86641541734824,169.63227177907487,186.99652036381693,178.20385684750428,174.84644409111948,175.36853843354518,359.86815951281494,0.11423239110732268,2.6025622024998105,72.20019193609866,72.83005208010302,283.49573328079583,74.43993506563275,73.82487800362705
0,TRAIN/Downward_Dog/Images/downward_dog56.jpg,168.06614265645524,163.50510899493776,186.95112271156145,178.27918516632715,174.58456898623547,177.17082416236974,358.6646758616065,1.1427450699063726,18.951113052686853,76.80231501332553,72.26374556006147,358.9949139947458,79.61114218453038,75.70827247749052
0,TRAIN/Downward_Dog/Images/downward_dog57.jpg,162.4075754378184,173.51622724560386,170.53767779197437,188.88262078052173,179.3902842023942,184.1512852664217,357.0699234842549,2.479662402588846,1.2679088384907007,80.88213724620422,78.39493851611714,20.556045219583464,80.02049439336838,77.58604968191338
0,TRAIN/Downward_Dog/Images/downward_dog58.jpg,161.565051177078,162.14968169778317,184.9828048057527,174.59015255218503,178.39083923720275,179.31273353645406,359.7002104833888,0.27501762954036757,358.42476307431696,72.66096461233462,71.80345110299827,145.71312302279102,78.32497953775169,78.47317824366189
