,Label,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk
0,TRAIN/Veerabhadrasana/Images/images (10).jpeg,182.38263863178204,172.25823092675603,108.66231183391258,99.44144182283003,241.86806940773982,185.7951528914739,260.0882224909516,100.641998354101,189.62371834314598,94.44124118943282,230.05663871105403,287.69890594799415,92.29061004263853,274.8495464339269
0,TRAIN/Veerabhadrasana/Images/images (11).jpeg,180.86641077110465,184.69215108376494,85.42607874009914,103.74279773915706,180.0,112.06111953173269,271.5688222434998,88.78112476486871,175.36075359142407,135.0,265.56896068708653,323.5307656099481,83.8113840367584,272.9022111757254
0,TRAIN/Veerabhadrasana/Images/images (12).jpeg,181.48305457747506,175.95041829672863,98.0997924753859,103.5933863586352,247.92930647555406,180.61167547471382,252.15664662090373,102.38612907963963,192.05078488340953,99.31035556647977,240.0684881594922,279.26452398513305,95.5023404261825,278.130102354156
0,TRAIN/Veerabhadrasana/Images/images (13).jpeg,182.41950921665637,177.61405596961117,108.43494882292202,97.58037293812362,271.9791961383392,180.12374879140646,274.76840720510535,74.74167916317744,187.0528024018278,101.86149935331643,232.79699111023461,288.9921025365346,115.70995378081129,275.09964901287725
0,TRAIN/Veerabhadrasana/Images/images (14).jpeg,183.36646066342982,173.00480770274197,262.69424046668917,257.52489028779104,133.8575005769557,179.83222367276912,87.76156510315695,272.3538121900714,174.2609015019104,245.97706666550667,127.17425483359112,78.27049649411668,260.97974081714267,90.1509766716816
0,TRAIN/Veerabhadrasana/Images/images (15).jpeg,170.64702074990674,190.51420892128093,95.95983911071306,98.58232457933525,262.784722564272,178.38969939750103,263.16899405064845,90.15004472119224,180.12374879140646,96.66961984231234,236.86501954292348,282.9102653187937,100.505867964781,273.8622090538652
0,TRAIN/Veerabhadrasana/Images/images (3).jpeg,171.8121979880955,184.59425333126637,86.43002405129029,107.14942478553763,183.6710250137785,113.52676981822297,245.65891006330747,115.36885375709112,185.03604429523887,119.2351674108833,273.19298040182593,324.7824070318073,73.9832137194559,276.28557781518947
0,TRAIN/Veerabhadrasana/Images/images (4).jpeg,187.47692143951664,174.45398776725153,94.25411892764882,116.6691981557513,174.85551836479377,111.48544331706343,260.1356683454163,98.67770037673249,191.51811162073565,135.13068418412723,276.71128028090084,327.57021137255504,84.47132004211511,271.9147469590701
0,TRAIN/Veerabhadrasana/Images/images (9).jpeg,177.7974018382342,181.97493401088198,97.38604315126727,96.4520350105987,246.29809842074698,180.181315152699,257.71356735521493,99.6168715081928,178.02506598911802,97.99020809755892,238.4400827765165,280.7842978675626,91.01397872278531,280.4731599478939
0,TRAIN/Veerabhadrasana/Images/istockphoto-1168064164-612x612.jpg,174.79705697099448,179.88631804697087,81.02511493383403,103.31623040670985,170.78897345918335,113.9759314752228,261.414065688195,99.92001296240205,176.8299083029842,131.88325582949977,263.25304991876567,329.48976259388445,82.38876802285067,264.32293990334546
0,TRAIN/Veerabhadrasana/Images/istockphoto-1347490940-612x612.jpg,179.224226925062,189.29001754885718,91.41023354525387,88.86174530047494,258.21471470444664,176.97052727118876,257.9538612226063,95.79388348312374,171.20474181008882,98.55858237233205,239.31716089471368,282.6027203660099,96.59402931871622,279.9675224013633
0,TRAIN/Veerabhadrasana/Images/istockphoto-643258770-612x612.jpg,179.6199340687633,168.9639766461907,108.58073929584124,93.14412658532927,254.54301159183606,183.81802990419985,269.43167860706035,86.35488948035743,186.06628262569902,105.01017209114836,225.506865958903,279.37373508701523,105.5374862020505,271.6012121475661
0,TRAIN/Veerabhadrasana/Images/Veerabhadrasana_1.jpeg,176.38611924799636,174.67112680359392,100.22216863363612,100.0984198422297,254.63153667820387,189.51835170269544,250.69121308358095,106.40966866634113,183.8214374376311,88.41028347404064,235.3582628658416,288.434948822922,87.12353766337726,284.3661127141613
0,TRAIN/Veerabhadrasana/Images/Veerabhadrasana_10.jpg,179.30159430509966,179.27963838404747,97.15728255271833,89.72979430812528,239.63817058985833,181.17674599308182,250.99025344136118,108.45977726836188,173.563376057375,89.36183612779894,234.70831349360307,282.7458174572416,78.0003386683574,282.13300277305467
0,TRAIN/Veerabhadrasana/Images/Veerabhadrasana_11.jpg,178.120583150533,175.93440588892582,94.83041995828994,112.46813582234279,183.31103885179243,102.20000762279828,242.39056632026228,117.12678871360873,188.8342941384618,119.88652694042405,283.4537271252202,331.6156151827341,76.51226333876332,277.81343251278105
0,TRAIN/Veerabhadrasana/Images/Veerabhadrasana_12.jpg,188.33412733617402,173.1035560270094,103.23676556771179,105.02654632714658,176.77547739348012,110.29484904572364,268.6505273956566,94.68238415184113,186.1655266735265,126.21883726561452,257.7300270180826,329.9459198415067,82.23615192881846,262.3767859062267
0,TRAIN/Veerabhadrasana/Images/Veerabhadrasana_13.jpg,179.33503705877484,180.56033205756768,81.40416459281312,111.73770708938034,179.57559458063852,114.46092690700216,268.4821094823128,93.31620130332264,179.2444228572105,134.96235269793073,266.1918950929093,326.167595816824,83.6670375362721,264.0858277899865
0,TRAIN/Veerabhadrasana/Images/Veerabhadrasana_14.jpg,178.04007274087363,176.92467392194797,104.57354618559044,78.11884238964102,223.19600488379942,175.34147104428544,275.42471750231164,87.24624704046191,171.03076306619255,109.96567520271776,220.9094477579378,298.19774296885237,100.50276754399549,264.76782850000376
